instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario1,0,0,100,20,80,30,40,0,20,0.4,0,1.1956099600503098,0
scenario2,0,0,100,0,20,-90,100,20,0,0.4,0,1.274288859869696,0
scenario3,1,20,100,80,80,-60,100,0,100,0.1,0,0.8048957628609229,0
scenario4,0,100,100,20,80,30,100,60,20,0.4,0,1.1853074340195693,0
scenario5,1,0,100,60,80,-60,60,40,100,0.4,0,0.914277122587422,0
scenario6,0,40,100,20,80,-90,40,0,20,0.2,0,0.9878785046995634,0
scenario7,0,0,100,100,40,30,40,0,60,1.0,0,1.079732737100609,0
scenario8,1,20,100,0,80,30,20,80,0,0.4,0,0.8979718110701984,0
scenario9,1,60,100,0,20,30,40,20,100,0.6,0,0.9512003307786934,0
scenario10,0,80,100,0,80,-60,40,0,80,0.1,0,1.0457343482422836,0
scenario11,0,0,100,80,100,30,100,0,0,0.1,0,1.1701368342660885,0
scenario12,0,40,80,80,80,-90,100,20,20,0.4,0,1.0573803666909434,0
scenario13,1,20,100,40,20,0,80,0,100,0.8,0,0.9335096537342876,0
scenario14,1,20,100,60,60,-30,40,60,0,0.4,0,0.8276742867582358,0
scenario15,0,0,100,20,40,-60,100,100,40,0.4,0,1.0869621898605646,0
scenario16,0,100,80,20,80,30,40,60,20,0.2,0,1.2131441201457238,0
scenario17,0,0,60,20,20,-90,100,20,20,0.4,0,1.3196607369569322,0
scenario18,0,40,100,100,100,30,0,40,60,0.4,0,1.0425236643727789,0
scenario19,0,60,40,0,80,-60,100,40,20,0.4,0,0.993669500000708,0
scenario20,1,100,20,60,40,30,100,0,100,0.4,0,0.9916543095530262,0
scenario21,0,40,80,80,80,30,40,0,60,1.0,0,1.0893022112794102,0
scenario22,0,20,100,20,0,60,100,60,0,0.0,0,1.2383367981639162,0
scenario23,0,0,100,60,80,90,60,80,20,0.1,0,1.064612809011795,0
scenario24,0,0,60,0,80,30,60,80,0,0.6,0,1.1861005974029455,0
scenario25,0,20,20,0,80,-90,20,0,0,0.1,0,1.1217244875421628,0
scenario26,0,60,40,20,100,30,20,0,100,0.1,0,1.100129829568569,0
scenario27,0,80,60,100,80,0,80,0,80,0.4,0,1.1314888688544864,0
scenario28,1,0,60,60,40,-90,40,40,100,0.2,0,0.9855513774534936,0
scenario29,0,20,80,0,20,-60,60,0,20,0.2,0,1.1089119463951371,0
scenario30,1,60,40,100,100,-60,40,80,0,0.1,0,0.8356791853143776,0
scenario31,1,0,20,80,0,-60,40,100,100,0.4,0,0.9658119045907264,0
scenario32,0,40,80,20,20,-60,100,20,0,0.1,0,4.404873095716442,0
scenario33,1,0,80,0,80,-30,40,0,40,0.6,0,0.9530725095441136,0
scenario34,1,100,80,80,100,-90,100,40,20,0.2,0,9999.0,0
scenario35,1,80,0,0,60,30,80,20,80,0.4,0,0.8528750323816406,0
scenario36,1,100,60,20,80,30,100,80,40,0.8,0,0.920072674792894,0
scenario37,0,0,40,40,20,60,100,60,100,0.4,0,1.2252428738965888,0
scenario38,1,20,0,0,80,90,0,100,100,0.4,0,0.7934404862618731,0
scenario39,0,40,20,60,40,-90,100,60,20,1.0,0,1.0797396643772266,0
scenario40,1,20,80,100,20,30,100,100,60,0.6,0,0.8802538876401726,0
scenario41,0,80,80,80,60,0,40,20,100,0.8,0,1.0935564434327294,0
scenario42,0,60,60,40,60,30,100,0,20,0.8,0,1.2054462757870976,0
scenario43,0,100,80,20,40,-60,40,60,80,0.1,0,1.0387340855262563,0
scenario44,0,20,40,20,80,-90,60,20,20,0.0,0,1.0707435766317943,0
scenario45,0,0,20,20,80,60,60,40,60,0.2,0,1.1856107107952534,0
scenario46,1,40,80,40,80,-60,0,0,0,0.1,0,0.9241068070241392,0
scenario47,0,100,60,80,20,-90,20,80,60,0.1,0,0.8686505722519412,0
scenario48,0,0,40,20,0,30,20,80,20,0.0,0,1.0296541211586954,0
scenario49,0,100,60,0,100,0,100,60,20,0.6,0,1.117226514994777,0
scenario50,0,0,0,60,100,-30,100,0,80,1.0,0,1.0869260356291672,0
scenario51,0,60,60,20,100,-90,100,20,40,1.0,0,1.1108220221859202,0
scenario52,0,0,0,100,0,-90,40,0,20,0.6,0,1.0465454066674806,0
scenario53,1,40,60,20,20,-60,60,40,60,0.6,0,0.9094529629793506,0
scenario54,1,100,40,80,100,-60,20,20,0,0.2,0,0.8637303961607209,0
