instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario1,0,0,100,20,80,30,40,0,20,0.4,0,1.1857388562290128,0
scenario2,0,0,100,0,20,-90,100,20,0,0.4,0,1.368697829247646,0
scenario3,1,20,100,80,80,-60,100,0,100,0.1,0,0.8076148645581038,0
scenario4,0,100,100,20,80,30,100,60,20,0.4,0,1.1024191455807748,0
scenario5,1,0,100,60,80,-60,60,40,100,0.4,0,0.9930485205071844,0
scenario6,0,40,100,20,80,-90,40,0,20,0.2,0,1.0290665846689966,0
scenario7,0,0,100,100,40,30,40,0,60,1.0,0,1.1086630633812051,0
scenario8,1,20,100,0,80,30,20,80,0,0.4,0,1.0005486348310837,0
scenario9,1,60,100,0,20,30,40,20,100,0.6,0,0.7883267597426282,0
scenario10,0,80,100,0,80,-60,40,0,80,0.1,0,1.0774474562560814,0
scenario11,0,0,100,80,100,30,100,0,0,0.1,0,1.2015601611024591,0
scenario12,0,40,80,80,80,-90,100,20,20,0.4,0,1.096031666269652,0
scenario13,1,20,100,40,20,0,80,0,100,0.8,0,0.904752578895824,0
scenario14,1,20,100,60,60,-30,40,60,0,0.4,0,0.8541772794270455,0
scenario15,0,0,100,20,40,-60,100,100,40,0.4,0,1.1044049132284175,0
scenario16,0,100,80,20,80,30,40,60,20,0.2,0,1.1966304347195411,0
scenario17,0,0,60,20,20,-90,100,20,20,0.4,0,1.3514552701332256,0
scenario18,0,40,100,100,100,30,0,40,60,0.4,0,1.0776721691602509,0
scenario19,0,60,40,0,80,-60,100,40,20,0.4,0,0.6227738536234386,0
scenario20,1,100,20,60,40,30,100,0,100,0.4,0,0.7959493089725825,0
scenario21,0,40,80,80,80,30,40,0,60,1.0,0,1.1288368533553703,0
scenario22,0,20,100,20,0,60,100,60,0,0.0,0,1.1877517794068857,0
scenario23,0,0,100,60,80,90,60,80,20,0.1,0,1.0933363588722207,0
