Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,100,80,60,0,30,0,0,100,0.6
scenario2,0,100,100,20,20,-60,20,40,60,0.4
scenario3,1,0,20,40,40,-90,80,20,40,0.6
scenario4,1,20,0,100,100,0,80,40,0,0.8
scenario5,0,40,0,100,20,-60,60,20,60,0.6
scenario6,1,80,100,100,60,-30,100,0,20,0.1
scenario7,0,20,80,20,20,90,60,0,80,0.1
scenario8,1,20,0,80,80,-90,80,80,0,0.4
scenario9,1,60,40,0,40,0,20,80,60,1
scenario10,0,80,80,60,80,-90,40,60,40,0.1
scenario11,0,60,20,40,100,-90,20,40,80,0.2
scenario12,1,0,100,80,60,30,100,100,20,1
scenario13,1,100,20,0,20,0,40,100,100,0.1
scenario14,0,20,0,20,100,90,20,60,80,0.4
scenario15,1,20,60,20,20,-30,0,60,40,0.1
scenario16,1,40,20,60,100,60,20,80,80,0.2
scenario17,0,80,60,60,0,30,100,20,0,0.1
scenario18,0,0,60,20,60,-60,0,80,40,1
scenario19,0,0,100,100,20,-30,80,100,60,0.6
scenario20,0,100,100,60,40,60,40,80,100,1
scenario21,1,0,0,100,60,-60,0,0,60,0.1
scenario22,1,80,60,20,80,90,20,20,80,0.8
scenario23,1,60,0,40,40,30,40,100,40,1
scenario24,1,60,60,60,0,-60,80,20,0,0.8
scenario25,1,100,100,40,0,90,100,40,100,1
scenario26,0,40,80,20,0,-90,60,100,80,0.6
scenario27,0,100,20,60,100,-30,80,60,60,0.4
scenario28,1,80,80,100,60,60,60,80,60,0.8
scenario29,1,40,40,0,60,30,0,40,40,0.4
scenario30,0,0,80,40,0,-90,60,80,20,0.6
scenario31,0,60,60,80,80,-30,100,40,20,0.8
scenario32,0,0,0,100,100,-30,80,40,0,0.2
scenario33,1,80,60,20,100,-60,80,60,60,0.4
scenario34,0,80,0,0,0,-90,0,100,80,0.4
scenario35,0,40,20,40,40,30,60,60,0,0.4
scenario36,1,100,80,0,0,30,60,0,60,1
scenario37,0,60,40,60,100,-90,40,100,100,0.2
scenario38,0,0,0,80,0,-30,20,80,0,0.8
scenario39,0,80,80,100,80,60,80,20,0,0.8
scenario40,1,40,40,80,40,60,100,100,40,0.8
scenario41,0,100,60,80,40,-60,100,40,0,1
scenario42,1,100,100,60,60,60,40,20,40,0.6
scenario43,1,80,0,40,0,-60,40,40,100,0.2
scenario44,0,80,60,0,20,-90,60,0,100,0.8
scenario45,0,100,40,40,80,-60,100,100,80,0.2
scenario46,1,40,40,100,20,-60,40,0,40,0.1
scenario47,0,60,80,60,100,90,20,20,100,0.2
scenario48,0,100,0,100,60,30,100,0,60,1
scenario49,1,60,60,60,60,90,100,0,20,1
scenario50,1,60,40,0,40,90,20,60,0,1
scenario51,1,40,40,80,80,60,0,100,100,0.8
scenario52,1,40,100,100,0,-60,0,40,80,1
scenario53,1,20,100,80,100,90,40,40,20,0.1
scenario54,1,100,100,40,80,-90,100,100,20,0.4
scenario55,1,60,20,60,60,60,20,0,80,0.4
scenario56,0,80,60,40,100,30,40,0,0,0.6
scenario57,0,20,20,0,40,-30,60,40,40,0.8
scenario58,0,80,40,60,80,-30,100,0,100,0.4
scenario59,0,100,40,20,60,-60,20,0,20,0.1
scenario60,0,60,20,20,100,-90,40,80,20,0.2
scenario61,1,20,20,0,0,60,40,20,40,0.4
scenario62,0,80,60,0,80,60,100,0,20,0.8
scenario63,1,20,40,40,60,-30,20,60,80,0.1
scenario64,1,100,40,40,0,0,40,60,20,0.2
scenario65,0,20,20,20,20,0,100,60,80,0.8
scenario66,0,40,60,80,40,30,0,40,40,0.6
scenario67,1,100,60,20,20,-30,0,20,0,0.2
scenario68,0,80,0,60,40,90,100,20,40,1
scenario69,1,20,0,80,100,-60,40,60,20,0.8
scenario70,1,40,40,20,0,0,60,40,60,0.1
scenario71,1,0,20,0,0,60,100,40,100,0.2
scenario72,1,60,40,40,40,60,80,100,100,0.1
scenario73,1,0,0,80,60,-60,80,0,80,0.2
scenario74,0,80,80,60,40,0,80,40,80,0.4
scenario75,0,20,80,40,20,30,80,40,60,1
scenario76,0,100,80,20,20,60,80,80,60,1
scenario77,0,20,20,80,0,60,40,80,100,0.2
scenario78,0,80,0,40,80,30,0,20,80,0.6
scenario79,1,40,20,20,20,90,80,60,40,0.4
scenario80,0,40,60,80,0,90,80,100,60,0.6
scenario81,1,0,60,60,60,-90,60,100,100,0.4
scenario82,1,80,0,100,100,-30,40,60,40,0.1
scenario83,1,0,40,40,60,0,100,20,20,0.8
scenario84,0,40,20,0,60,30,40,100,20,0.6
scenario85,0,60,20,100,20,30,40,0,100,0.4
scenario86,0,60,20,100,20,-90,0,0,40,0.6
scenario87,1,40,60,40,40,90,60,20,0,1
scenario88,1,20,80,40,0,-60,0,80,60,0.1
scenario89,0,60,0,0,80,-30,0,80,20,0.1
scenario90,1,100,100,40,80,-90,20,20,100,0.1
scenario91,0,0,20,60,40,-30,100,100,20,0.2
scenario92,1,20,80,40,60,-90,40,20,100,0.8
scenario93,1,40,100,80,40,-30,0,20,60,0.6
scenario94,0,80,100,60,20,30,20,0,100,0.2
scenario95,0,40,80,100,20,30,0,20,80,1
scenario96,1,60,20,100,40,60,20,60,0,0.2
scenario97,0,60,40,20,40,0,20,80,20,0.6
scenario98,1,100,80,20,0,30,20,60,0,0.6
scenario99,0,80,0,0,80,60,60,80,40,0.2
scenario100,1,60,40,60,40,-30,0,100,0,1
scenario101,0,40,100,80,100,0,80,80,80,0.2
scenario102,0,100,100,0,80,-90,100,20,60,1
scenario103,1,20,100,100,100,60,40,100,80,0.2
scenario104,0,60,20,0,0,-30,80,40,80,0.1
scenario105,1,80,40,80,100,-90,60,20,0,0.8
scenario106,1,40,100,80,100,30,20,80,40,0.4
scenario107,1,100,80,40,40,-60,80,20,0,0.4
scenario108,0,20,0,0,100,90,40,40,60,0.2
scenario109,1,0,40,100,100,-60,60,80,0,1
scenario110,1,60,60,60,20,-30,0,20,20,0.8
scenario111,0,100,100,100,100,-60,0,40,80,0.8
scenario112,1,20,20,60,60,-90,60,0,100,0.2
scenario113,1,100,100,80,60,-30,60,0,40,0.4
scenario114,0,40,0,20,60,30,0,100,40,0.6
scenario115,0,20,80,60,20,90,100,80,60,1
scenario116,0,80,80,80,60,-90,80,0,100,0.8
scenario117,1,0,40,80,0,-30,80,100,40,0.1
scenario118,0,100,80,20,60,30,60,80,0,0.8
